NAME                                 VERSION                             TYPE       
@babel/generator                     8.0.0                               npm        
@babel/helper-string-parser          7.29.7                              npm        
@babel/helper-string-parser          8.0.0                               npm        
@babel/helper-validator-identifier   7.29.7                              npm        
@babel/helper-validator-identifier   8.0.4                               npm        
@babel/parser                        7.29.8                              npm        
@babel/parser                        8.0.4                               npm        
@babel/types                         7.29.8                              npm        
@babel/types                         8.0.4                               npm        
@jridgewell/gen-mapping              0.3.13                              npm        
@jridgewell/remapping                2.3.5                               npm        
@jridgewell/resolve-uri              3.1.2                               npm        
@jridgewell/sourcemap-codec          1.5.5                               npm        
@jridgewell/trace-mapping            0.3.31                              npm        
@oxc-project/types                   0.144.0                             npm        
@primeuix/styled                     0.7.4                               npm        
@primeuix/styles                     2.0.3                               npm        
@primeuix/themes                     2.0.3                               npm        
@primeuix/utils                      0.6.4                               npm        
@primevue/core                       4.5.5                               npm        
@primevue/icons                      4.5.5                               npm        
@rolldown/pluginutils                1.0.1                               npm        
@types/jsesc                         2.5.1                               npm        
@vue-macros/common                   3.1.4                               npm        
@vue/compiler-core                   3.5.41                              npm        
@vue/compiler-dom                    3.5.41                              npm        
@vue/compiler-sfc                    3.5.41                              npm        
@vue/compiler-ssr                    3.5.41                              npm        
@vue/devtools-api                    8.2.1                               npm        
@vue/devtools-kit                    8.2.1                               npm        
@vue/devtools-shared                 8.2.1                               npm        
@vue/reactivity                      3.5.41                              npm        
@vue/runtime-core                    3.5.41                              npm        
@vue/runtime-dom                     3.5.41                              npm        
@vue/server-renderer                 3.5.41                              npm        
@vue/shared                          3.5.41                              npm        
acorn                                8.18.0                              npm        
agent-base                           6.0.2                               npm        
ast-kit                              2.2.0                               npm        
ast-walker-scope                     0.9.0                               npm        
asynckit                             0.4.0                               npm        
axios                                1.19.0                              npm        
birpc                                2.9.0                               npm        
call-bind-apply-helpers              1.0.2                               npm        
chokidar                             5.0.0                               npm        
combined-stream                      1.0.8                               npm        
confbox                              0.1.8                               npm        
confbox                              0.2.4                               npm        
csstype                              3.2.3                               npm        
debug                                4.4.3                               npm        
defu                                 6.1.7                               npm        
delayed-stream                       1.0.0                               npm        
detect-libc                          2.1.2                               npm        
dunder-proto                         1.0.1                               npm        
entities                             7.0.1                               npm        
es-define-property                   1.0.1                               npm        
es-errors                            1.3.0                               npm        
es-object-atoms                      1.1.2                               npm        
es-set-tostringtag                   2.1.0                               npm        
estree-walker                        2.0.2                               npm        
exsolve                              1.1.1                               npm        
fdir                                 6.5.0                               npm        
filippo.io/edwards25519              v1.2.0                              go-module  
follow-redirects                     1.16.0                              npm        
form-data                            4.0.6                               npm        
function-bind                        1.1.2                               npm        
get-intrinsic                        1.3.0                               npm        
get-proto                            1.0.1                               npm        
github.com/beorn7/perks              v1.0.1                              go-module  
github.com/bmatcuk/doublestar/v4     v4.10.0                             go-module  
github.com/casbin/casbin/v3          v3.11.0                             go-module  
github.com/casbin/gorm-adapter/v3    v3.41.0                             go-module  
github.com/casbin/govaluate          v1.10.0                             go-module  
github.com/cespare/xxhash/v2         v2.3.0                              go-module  
github.com/dustin/go-humanize        v1.0.1                              go-module  
github.com/glebarez/go-sqlite        v1.23.0                             go-module  
